RECORD_ID,REPAIR_NAME,REPAIR_HOURS
7999ce200f644162995b7a1f0b282010,修复行驶系,2.0
80e5559525334d1d9060e5b7079abbb0,更换前钢板套子,1.0
6d72c4f22b42469aac52ac341d685f0c,更换空压机,0.0
70e7234838614e4ca897cfa4dc8f2ad1,拆变速箱更换飞轮,0.0
70e7234838614e4ca897cfa4dc8f2ad1,更换离合器三件套,0.0
70e7234838614e4ca897cfa4dc8f2ad1,其他,0.0
70e7234838614e4ca897cfa4dc8f2ad1,拖车费,0.0
8de4f63536894209a8336ff0130b83fd,做28万保养,0.0
8de4f63536894209a8336ff0130b83fd,更换中冷出气管,0.0
8de4f63536894209a8336ff0130b83fd,更换水箱,0.0
8de4f63536894209a8336ff0130b83fd,四轮保养,0.0
de907c41038340c49b294019998958f0,更换燃油滤芯,0.0
de907c41038340c49b294019998958f0,做25万保养,0.0
de907c41038340c49b294019998958f0,更换变速箱油,0.0
de907c41038340c49b294019998958f0,牙箱异响拆装检修变速箱,0.0
de907c41038340c49b294019998958f0,检查离合片异味,0.0
73bb953c5d6047a3ac9b1d35f7b66238,换机油机滤,0.0
6f0a1d0753934354a0500af30cffbfdf,XM更换机油机滤,1.0
7136ef4293864f9b9b4ad91847276bcf,主，付发动机三清,1.0
4e4748d6d2ec4f6aa1cd4c5e2b2762be,清洗,2.0
f51bea52f02f4236ba5f3f6ef8a0a572,更换机油机滤,0.0
f51bea52f02f4236ba5f3f6ef8a0a572,拆后尾灯换灯泡,0.0
970fe4ac8d1e424a9e315c9e965afba4,清洗喷油嘴,1.0
319743f27e964d848a99de0f7f473e88,离合器,1.0
16dc26635f6b4dca90ddb703d0a70470,保养四轮刹车,1.0
e3a5cb7d075e47e49314789908f3354d,保养工时费,1.0
e3a5cb7d075e47e49314789908f3354d,打黄油（气刹）,1.0
9cf371986a2941e8a1d81d9fa6f9cb64,更换节温器,8.0
208b335eb6744fcabb8304db12cb67e1,检修空调换压缩机,0.0
6603e83565e54ad39cc05fec858835a7,全车打黄油,1.0
6603e83565e54ad39cc05fec858835a7,保养,1.0
08b379f95e1645e6abfad182c702c9c1,南京配件专发到岳西,1.0
08b379f95e1645e6abfad182c702c9c1,后桥差速器拆装,1.0
a05363e2f88d47598472d1e8f30ac1f4,四轮保养及黄油,1.0
a05363e2f88d47598472d1e8f30ac1f4,发动机保养,1.0
ce9038aca7a645b99ec0f3632034f676,更换右前大灯,0.0
ab015bf63ff7483e8046a510562aa238,换机油,0.0
d8f6d91db40547539f96b6c7e4c98184,尾气治理,0.0
fe2e41e1e483427c8e7e23862ead5073,事故拆装及钣金喷漆,0.0
c681611b4b6e45cfb845ff6acf499228,检修油门气缸,15.0
c681611b4b6e45cfb845ff6acf499228,外出救援2次,10.0
a458c5cbd27646d690f8e48d8bb56d8e,尾气故障诊断合格,0.0
e4ed689b8e7f4144b0ab4309079aa4ab,清洗调整喷油嘴,10.0
7e35fec6c6cf491abb421200fd6ca530,XM手动变速箱大修,800.0
7e35fec6c6cf491abb421200fd6ca530,XM更换变速箱总成,462.0
7e35fec6c6cf491abb421200fd6ca530,XM更换机油机滤,66.0
5327784670714d4fb6d9e237fa4ceaea,更换缸盖,16.0
1cb1d11a2f9d456899aa1a0afef2fef8,更换导流罩,4.0
e43cb871abef45659496b288808ec346,更换压缩机,1.0
49d4b512978b4d888ba12d70e7054e0a,发动机保养,6.0
fe2ab012a0ef4c9a89d73ef4f4440139,检修尾气,100.0
7a721bd808a24ad585eeecf88104152d,修复转向系,8.0
798be9c87c8744ef88cdcf862cb8fb44,二级维护,2.5
2782279084f24750965f63a1802f9cbb,工时,0.0
20433a4585d64d9fb65821005e49ac04,尾气治理,1.0
20433a4585d64d9fb65821005e49ac04,清洗三元催化,1.0
171ca93298e042f1b0722e81f978af0a,更换发电机工时费,1.0
1c4a684a0031470594fc4a42db7cc092,轻卡发动机保养,1.0
1c4a684a0031470594fc4a42db7cc092,轻卡四轮保养（前毂）,1.0
3e529b00a7bf42399e60fbab3677953c,二级维护,500.0
d7f24b0f6837416ba61d5bbb3a0db429,节气门清洗,1.0
d7f24b0f6837416ba61d5bbb3a0db429,尾气不达标处理,1.0
4e27de057da14e44bcad2b7c8ba952e7,发动机保养,0.0
d9cd91e7e34748d3a2b1f64f490b869b,按国标（GB/T18344）进行二级维护,0.0
534db7647cb74bff8eb272485871cf4b,拆装切割车顶、安装车顶空调,0.0
baf88e575af24c3fb2c24674111f5fe2,检修空调添加制冷剂,1.0
0083856b284d480883b2ad97d8c5ccc8,二级维护,410.0
5ff3738942ee4a96b7b3512aaf5e8892,更换牙箱油,0.0
5ff3738942ee4a96b7b3512aaf5e8892,发动机保养,0.0
85103a5d03414e289709f8fb1fa97790,支付宝预收400,0.0
85103a5d03414e289709f8fb1fa97790,拆装检查DPF,0.0
7a73e11c47ce4163bc6cc7158365dff3,变速箱总成,0.0
7a73e11c47ce4163bc6cc7158365dff3,发电机惰轮,0.0
7a73e11c47ce4163bc6cc7158365dff3,报价不修,0.0
7a73e11c47ce4163bc6cc7158365dff3,更换变速箱总成,0.0
7a73e11c47ce4163bc6cc7158365dff3,发电机皮带,0.0
7a73e11c47ce4163bc6cc7158365dff3,发电机张紧器,0.0
f5ba2205bcf8445c8da04037c555a348,更换DPF (3月份已付拆装费，这次不用付）,0.0
f5ba2205bcf8445c8da04037c555a348,因为上装改装厂家不达标上汽跃进的要求（固更换的DPF厂家不保修）,0.0
78926580cc4347a3b5a0ed5d86528f81,处理半轴漏油(已处理）,0.0
8c0a12b46ba04d2a9cd31ed08d91a523,更换组合开关,0.0
8c0a12b46ba04d2a9cd31ed08d91a523,检查全车灯光,0.0
d5fd4ab758c54ae186bd25cd14e32103,换调整臂,0.0
d5fd4ab758c54ae186bd25cd14e32103,做29万保养,0.0
d5fd4ab758c54ae186bd25cd14e32103,更换机油机油滤芯,0.0
d5fd4ab758c54ae186bd25cd14e32103,打黄油,0.0
17f5fd26c0184cc9acc48e662fbd80c1,更换转向助力油,0.0
17f5fd26c0184cc9acc48e662fbd80c1,更换制动液,0.0
17f5fd26c0184cc9acc48e662fbd80c1,四轮保养,0.0
17f5fd26c0184cc9acc48e662fbd80c1,更换空气滤芯,0.0
17f5fd26c0184cc9acc48e662fbd80c1,更换冷却液,0.0
17f5fd26c0184cc9acc48e662fbd80c1,更换传动皮带,0.0
17f5fd26c0184cc9acc48e662fbd80c1,12万公里保养,0.0
77c6020917124fb0b536ca9f8124cbe6,更换机油机滤,0.0
77c6020917124fb0b536ca9f8124cbe6,29万公里保养,0.0
c73021c7d8e2409b908f4e90b16fa6f1,四轮保养,0.0
c73021c7d8e2409b908f4e90b16fa6f1,26万公里保养,0.0
c73021c7d8e2409b908f4e90b16fa6f1,更换机油机滤,0.0
3cb4056a3d2242179eedacb4f61382cd,副发动机排气管拆装维修,120.0
297446703f50465e8708678400c25655,后视镜拆装更换,40.0
62b43c35f7524813a9cb6dc265430fc6,机工：更换前桥 左羊角 弯臂 横直拉杆 备胎架加固 检修后桥漏油,1.0
6541533c777c42feb217ef89971b2b44,铜工：左前门漏雨 左前门锁块罗丝紧固,1.0
6541533c777c42feb217ef89971b2b44,机工：排气支管罗丝脱落 气门室盖漏油 刹车漏气,1.0
6541533c777c42feb217ef89971b2b44,电工：右后尾灯不亮 灯光检修 更换电瓶 安装总开关,1.0
db04ddcacdd943c2b0d9ea3ce5f706e7,外出检测+更换尿素传感器,0.0
6fcfac7b72c344229d68e4156383caae,保养,1.0
f0d6ccc9cb574dea93563a2950537d98,更换机油机滤空滤,6.0
f0d6ccc9cb574dea93563a2950537d98,打黄油,0.0
a971a729861f407a845d608ab939ff9a,前轮外轴承,6.0
8b90a53a159645be9059846fb69a090d, 保养（副）,0.0
8b90a53a159645be9059846fb69a090d, 保养（主）,0.0
1fa07c2355a84ab2a60972ee9db0c511,二级维护作业,25.0
db072d87308c4c37a69fa0d3bb9eebf1,检修制动系统,1.0
71dbcf015e0f49f6a4f49b309f00addf,拔轮保养,1.0
bd9edd0dee284a9b83281801906b40c0,二级维护,2.5
fefa1c1208b04b0ca2f266d9735f1919,送保养,0.0
be9220de2b09410f8c249a1529d4818d,左前门整形喷漆,3.0
968489add8d64c05bd7f92482dc0645c,保养,1.0
223e1d17463246b08bf46623d91e697b,首保,1.0
65b7656336d64d448028610a0b87ca2e,首次保养,0.0
570bc89f480845c388d56b7006b42a63,其他,0.0
570bc89f480845c388d56b7006b42a63,拖车费,0.0
570bc89f480845c388d56b7006b42a63,牙箱支架断裂,0.0
1aa78489dd6a4e16b685526f5c38cf4a,跳档,0.0
1aa78489dd6a4e16b685526f5c38cf4a,右边门锁不到,0.0
1aa78489dd6a4e16b685526f5c38cf4a,检查车辆故障灯亮,0.0
1aa78489dd6a4e16b685526f5c38cf4a,抬牙箱,0.0
1aa78489dd6a4e16b685526f5c38cf4a,不修,0.0
820e522e608a4d95863948befceec985,二级维护,2.0
483beda950854a2d9da1e1e49bf4ddf0,油漆,150.0
868a4e1a2ae04d2c9f308df23d570ea9,车辆例行检查,0.0
fa77860464f64d1bbbce0a9d009c179b,检修档位，拆装更换拉丝,6.0
c6674d9d2a444766a97804c8624d40b7,发动机大修,0.0
d5b644dab8e941039dc675bd94f3b235,二级维护,1.0
27b8cb87c2cc4f689a4ed9ecc0afb24b,四轮打轮胎检查刹车片,1.0
27b8cb87c2cc4f689a4ed9ecc0afb24b,快递费,1.0
27b8cb87c2cc4f689a4ed9ecc0afb24b,二维检测 检验费,1.0
f4c85186981d4a76b836071b00e6ee72,外出乌龙换机油,0.0
0e97483d491445b1a89864a5e475b9bc,维修费,0.0
0ed2063b56c04240943f03d8b1260dad,发动机保养,0.0
0869275f9ff140fbbb7865af914b4a83,二级维护,1.0
cab65766382a4bbfab5f76ea5a2d5c92,二级维护,1.0
eae5cebd5a594c1f872eeeedb5ecaaeb,二级维护,1.0
64301401dc184a3da584c51d2c00aacd,打黄油及底盘检查,0.0
64301401dc184a3da584c51d2c00aacd,27万公里保养,0.0
131c6fc4ea594d48a27e88fb5079370b,离合器支架,0.0
131c6fc4ea594d48a27e88fb5079370b,拔两后更换刹车片，刹车鼓,0.0
131c6fc4ea594d48a27e88fb5079370b,后刹车片,0.0
131c6fc4ea594d48a27e88fb5079370b,后刹车鼓,0.0
131c6fc4ea594d48a27e88fb5079370b,干燥器,0.0
131c6fc4ea594d48a27e88fb5079370b,离合器油管,0.0
601bbdda3f31492daba2ad105da80490,30万公里保养,0.0
601bbdda3f31492daba2ad105da80490,更换燃油滤芯油水分离器,0.0
601bbdda3f31492daba2ad105da80490,更换冷却液,0.0
601bbdda3f31492daba2ad105da80490,更换传动皮带,0.0
601bbdda3f31492daba2ad105da80490,四轮保养,0.0
601bbdda3f31492daba2ad105da80490,更换转向油罐滤芯转向油,0.0
601bbdda3f31492daba2ad105da80490,更换后桥油,0.0
601bbdda3f31492daba2ad105da80490,更换变速箱油,0.0
a29e7ee07d344c1289a05ddacd724fab,里程279309,0.0
a29e7ee07d344c1289a05ddacd724fab,检查车辆踩刹车异响,0.0
a29e7ee07d344c1289a05ddacd724fab,更换右前ABS传感器,0.0
a29e7ee07d344c1289a05ddacd724fab,更换左后ABS传感器,0.0
3cd40ed10ea045199ecbc69e3fb58a7e,年检项目检查,0.0
812b9b37ec174ca38e70374a8e39acc1,更换柴油细滤,0.4
1535bdc2a89140ccb09448819ab48be1,发动机再生,10.0
fd0f73ccbf864b338677624ff89f7c24,清洗检修油路,1.0
fd0f73ccbf864b338677624ff89f7c24,清洁空气滤清器,1.0
a58a05372cd54b5ba67070defed910e9,拆尾板（年审）,30.0
21ef8187f74946ff94d030c775244318,XM打黄油,0.3
21ef8187f74946ff94d030c775244318,XM维修收音机喇叭,0.5
